index,class,tweet
0,2,woman shouldn't complain cleaning your house. &amp; a a man should always take trash out... 
1,1,boy dat cold...tyga dwn bad cuffin dat hoe the st place 
2,1,dawg 
3,1,look like tranny 
4,1,shit hear me might true might faker the bitch told it to ya ; 
5,1,shit blow me..claim so faithful down somebody still fucking hoe 
6,1,can just sit and hate another bitch .. got much shit going 
7,1,; cause i'm tired you big bitch coming u skinny girl 
8,1,&amp; might get ya bitch back &amp; thats 
9,1,":hobbies include: fighting mariam"" bitch "
10,1,keeks a bitch curve everyone lol walked a conversation like this. smh 
11,1,murda gang bitch gang land 
12,1,hoe smoke loser ? yea ... go ig 
13,1,bad bitch the thing i like 
14,1,bitch get off 
15,1,bitch nigga miss with 
16,1,bitch plz whatever 
17,1,bitch do love 
18,1,bitch get cut everyday b 
19,1,black bottle &amp; bad bitch 
20,1,broke bitch cant tell nothing 
21,1,cancel bitch like nino 
22,1,cant see hoe wont change 
23,1,fuck that bitch dont even suck dick ;;; kermit video bout fuck ig 
24,1,got ya bitch tip toeing my hardwood floor ; 
25,1,pussy lip like heaven door ; 
26,1,hoe it hitting 
27,1,met pussy ocean dr . gave pussy pill ; 
28,1,need trippy bitch fuck hennessy 
29,1,spend money i want bitch my business 
30,1,txt old bitch new bitch pussy wetter 
31,1,i'd say im back the old but old bitch would get excited ; 
32,1,you aint bout murder game pussy nigga shut 
33,1,you're toe ain't done pussy stink 
34,1,im done bitter bitch wrap that . you a angry bird a app that 
35,1,that ya bitch 
36,1,aint nothing cut bitch 
37,1,jus meet son he ya mane bitch shots 
38,1,lame cry hoe thats tear a clown 
39,1,like snoop said  dont love hoe 
40,2,momma said pussy cat inside doghouse 
41,1,hated the hoe favorite mw sevenone # 
42,1,"nice girl bad, make get naughty. bad yello hoe, real nice body. south chick, like em real thick"" "
43,1,pimp pimp hoe future voice 
44,1,post picture that pussy get  like 
45,1,pussy a powerful drug ; happyhumpday 
46,1,quick piece pussy call a drive 
47,1,running round like brand new pussy thats bout get fucked 
48,1,bitch even worst they'll send guy you 
49,1,hoe like nigga spend money talk bout 
50,1,dont trust nigga these bitch 
51,1,yall nigga b cuffing hoe cause yall aint never bitch 
52,1,"dodge bullet ; ; ""all da bitch cut pregnant bound be ....thank god ;""; "
53,1,young pill chamberlain bitch love music 
54,1,""";;;;;;;;;;; teanna trump probably cleaner most these twitter hoe but........."" "
55,1,""";;;;;;;;;; gay nigga wait act like bitch tonight"" "
56,1,""";;; ima steal cat n replace with pitbull ;;;; rt a bitch should it"" "
57,1,"""&amp; he's gone always a hoe"" "
58,1,"""...son a bitch took tic tacs."" like movie. "
59,1,"""..all wanna is get money fuck model bitches!"" - russell simmons "
60,1,"probably wouldn;t mind school much we didn;t to deal bitch teachers"". retweet "
61,1,"i'm fucking fag said"" "
62,1,female think dating pussy cute now? doe this stuff make a pussy? 
63,2,-simplyaddictedtoguys woof woof hot scally lad 
64,1,"ya ever asked bitch other bitch - kanye voice"" yes "
65,1,"u gone bring ur side bitch a game you know ya gf friend ?! ;;;;"" swear!!!!! "
66,2,woof woof hot sol 
67,2,"lemmie eat oreo &amp; these dishes."" one oreo? lol "
68,1,bitch fuck u maybe get better. 
69,1,"fuck red malone man bitch niggah"" could please use complete sentences? "
70,2,"the eggplant emoji doe?""y say looked like scream lmao "
71,1,hennessey venom gt ; that's one sexy bitch 
72,1,"seh pussy wetter a shower curtain....#ahmesehwetness""&lt;lmao!! "
73,1,"eaglesnation every eagles need see pic posted that bitch just said most racist shit"" "
74,1,"yo fuck skateboarding, y'all wood pushing faggot man, ball life "
75,2,baby monkey bathtime awwwwe! is soooo adorable! 
76,1,";;;; ain't shit ."" damn skippy lol "
77,1,"u ever kill ant the sidewalk think damn if nigga wa his way get pussy""no b must b &gt;%chance "
78,1, ring  mvp  bitch lol 
79,1,"ppl talk bad the ghetto/hood ... kid growing up, a nigga funnnnnnn !"" "
80,1,fact tattoos...tattoo he's pussy not tattooing nipple 
81,1,";;; rt bitch wanting act like nigga bad ;;; shit aint cuteeeee"" nigga act like bitches.. "
82,1,get worshiping bitch! woof woof 
83,1,wow. rt i'm lost. those buttcheek piercings? yeah a hoe 
84,1,"ok, sis."" she'd rather a broke bitch? *shrugs* she'll to tell how work her "
85,0,"queer"" gaywad "
86,1,"faggot read tweet dat k"" wasn't even funny lol "
87,1,bitch wa ungrateful fr ..... lulwhore 
88,1,"been kidnapped yo bitch"" "
89,0,"alsarabsss"" a beaner smh can tell a mexican "
90,1,"happy birthday nigs"" thanks yo "
91,1,ur teacher tell u u homework bitch need go!!! 
92,1,"nigga wa eating hoe lol"" hell yea lol john paul"" nigga said john paul.. "
93,1,"would y'all lil ugly bald headed bitch if stop making make-up &amp; weave?"" "
94,1,"leaf better win damn game i go riot shit earlychristmas"" better start looting nig "
95,1,"going back school suck dick the hoe attend it."" "
96,1,my way fuck yo bitch a  year old 
97,1,"come never bring food"" dont a car retard "
98,1,"richnow show with hella tinder hoe im his friend anymore"" chill brought like like  prople "
99,1,"bout cowboys!!!!"" shutup pussy "
100,1,lmaooooooooooo nigga &lt;bitch want like some depressing shit..foh 
101,1,"girl know wa spitting g shit &amp; you wa going lbvs""bitch plz "
102,1,"let make couple tweet cuzzo page, i get twitter jail.""lmao bitch trick again "
103,1,"harlem shake just excuse go full retard  seconds."" "
104,1,"amen miley ; ""okay, she need act like hoe bc ""emotionally damaged"" foh "
105,1,"one loyal female wayyyyy better having hoe , idc ;"" "
106,1,"pussy licking pussy.... meow meow stopwhitepeople ; #;"""""""" ; "
107,1,"check our th man. cowboysnation"" even all faggot ny fan the stand "
108,1,"happen them vixen ent bitches"" got ran threw the side like foothill bitch "
109,1,"im bitch okay nude pat ;;;"" wow "
110,0,"fucking gay, blacklisted hoe"" holding for tehgodclan anyway "
111,1,"fuck wrong these bitches?"" nobody know "
112,1,"yall shut up:p"" make bitch "
113,1,"hate ""i'm pregnant"" type bitch."" "
114,1,"got bitch the dm i ever read'em"" is your top  "
115,2,"baseball season the win. yankees"" is the love started "
116,1,"little stupid bitch don't fuck yoooooouuuu.."" "
117,1,"really asked that dead serious tho, i could say wa ""bitch wheet"" lol "
118,2,"i'm early bird i'm night owl, i'm wise have worms."" "
119,2,"overdosing heavy drug sound bad tonight."" do pussy shit every day. "
120,2,pit bull photographed lovely fairy tale creature #; *are* fairy tale creatures. 
121,1,"aw."" ...fag, tweet ""aw"" me lol "
122,2,"long the lakers trash now on, could careless. that's real."". cc: hahaha "
123,1,"didn't say anything tho"" kiss then faggot "
124,2,"the ""i play soccer, cheat girls, wear khaki coloured cargos"" haircut ; yup "
125,1,"could go a fat bitch my lap"" "
126,1," missed calls!!!! ;;""das yo p.o bitch twitter finna screamn freemoneymelle "
127,1,"ya side bitch gotta know rule this shit..anybody ask my cousin jersey thinkin bout moving"" lmmfao ;;;; "
128,1,";  | amo los pie #;"" fuck yeah "
129,1,"hoe thinking meat slap as ;;"" ainna bruh "
130,1,"yall bitch wit edge doing most talking ;;;"";;; "
131,1,"yall still going trick treating year nah?""hell yeah ima da sweet tooth bandit steal bitch bag n shit "
132,1,"wanna sex my mom fuck right that pussy i came from"" damn got hacked like fuck "
133,1,"she kiss u her eye open watch bitch!""lmfao "
134,1,"a woulda coulda shoulda hoe ;;"" "
135,1,"happy bday bitch nigga ""preciate bitch roll up! "
136,1,"used send bitch up"" "
137,1,"ugly bitch like i'm own wcw duh bitch ain't nobody elses;;"" "
138,1,"nigga know hacky sack hoes."" ...nah, throw look pass lmao "
139,1,"glad i'm getting outta atlanta. nothing a bunch nigga &amp; outta jail &amp; dumb bitch mad kid fuckin em."" "
140,2,isn't ghetto.....it's smart i'm this idc 
141,1,"would wife hoe cuz wouldn't care we cheating each other."" ...why force relationship the first place? "
142,1,"single an excuse be hoe."" "
143,1,"white boy power bitch"" black power bitch "
144,1,"let get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dude no chill. "
145,1,"bitch u been"" around world back. you been? "
146,1,"i get dick sucked yo party a bad bitch i'm fr gone set off ;;;;"" *by * "
147,1,"oomf soooo cute. he probably ha hoe him lot."" "
148,1,every cartoon alway saving hoe lmao. lmao damn captain saveahoe 
149,2,want get nose these bad bois scally chav sockfetish stinking hot sox leg 
150,1,"wish wa bitch like brother keezy ;"" ooooow bet do "
151,1,"dressed cat halloween you are basic."" ...or a pussy "
152,1,"pornhub get gaming stream feature these dumb bitch gtfo"" get it katie&lt; "
153,1,"stop scared choke during sex u bitch niggas. she;ll like it."". say guy hit woman of bed. foh "
154,1,"ha well iguess make hoe loyal bro"" theyll never loyal y hoe nig "
155,1,"oh man.. ""its  am, off molly, ho the fuck ya seed at??"""" fixed "
156,1,"not man you refer every girl a bitch"" "
157,1,"lmfao cat started beating shit of me"" nigga finally got pussy?!? nigga!!! "
158,2,"peel peel bring back rewind back i'm they move shaq the line"" ooooow tf said trash!!? "
159,1,"io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha "
160,1,"naw old tape. new cover . my upcoming mixtape kingofthehill"" yeah i'm waiting that hoe mayne! "
161,1,"ol dirty foot bitches.."" wa funny me. "
162,1,"that's i get yellow flag being amazing ;;"" hell yeah niggy "
163,1,"got time bitch be actin iffy."" "
