index,class,tweet
0,2,woman shouldn't complain cleaning your house. &amp; a a man should always take trash out... 
1,1,boy dat cold...tyga dwn bad cuffin dat hoe the 1st place 
2,1,dawg 
3,1,look like tranny 
4,1,shit hear me might true might faker the bitch told it to ya ; 
5,1,shit blow me..claim so faithful down somebody still fucking hoe 
6,1,can just sit and hate another bitch .. got much shit going 
7,1,; cause i'm tired you big bitch coming u skinny girl 
8,1,&amp; might get ya bitch back &amp; thats 
9,1,":hobbies include: fighting mariam"" bitch "
10,1,keeks a bitch curve everyone lol walked a conversation like this. smh 
11,1,murda gang bitch gang land 
12,1,hoe smoke loser ? yea ... go ig 
13,1,bad bitch the thing i like 
14,1,bitch get off 
15,1,bitch nigga miss with 
16,1,bitch plz whatever 
17,1,bitch do love 
18,1,bitch get cut everyday b 
19,1,black bottle &amp; bad bitch 
20,1,broke bitch cant tell nothing 
21,1,cancel bitch like nino 
22,1,cant see hoe wont change 
23,1,fuck that bitch dont even suck dick ;;; kermit video bout fuck ig 
24,1,got ya bitch tip toeing my hardwood floor ; 
25,1,pussy lip like heaven door ; 
26,1,hoe it hitting 
27,1,met pussy ocean dr . gave pussy pill ; 
28,1,need trippy bitch fuck hennessy 
29,1,spend money i want bitch my business 
30,1,txt old bitch new bitch pussy wetter 
31,1,i'd say im back the old but old bitch would get excited ; 
32,1,you aint bout murder game pussy nigga shut 
33,1,you're toe ain't done pussy stink 
34,1,im done bitter bitch wrap that . you a angry bird a app that 
35,1,that ya bitch 
36,1,aint nothing cut bitch 
37,1,jus meet son he ya mane bitch shots 
38,1,lame cry hoe thats tear a clown 
39,1,like snoop said 94 dont love hoe 
40,2,momma said pussy cat inside doghouse 
41,1,hated the hoe favorite 2mw sevenone # 
42,1,"nice girl bad, make get naughty. bad yello hoe, real nice body. south chick, like em real thick"" "
43,1,pimp pimp hoe future voice 
44,1,post picture that pussy get 200 like 
45,1,pussy a powerful drug ; happyhumpday 
46,1,quick piece pussy call a drive 
47,1,running round like brand new pussy thats bout get fucked 
48,1,bitch even worst they'll send guy you 
49,1,hoe like nigga spend money talk bout 
50,1,dont trust nigga these bitch 
51,1,yall nigga b cuffing hoe cause yall aint never bitch 
52,1,"dodge bullet ; ; ""all da bitch cut pregnant bound be ....thank god ;""; "
53,1,young pill chamberlain bitch love music 
54,1,""";;;;;;;;;;; teanna trump probably cleaner most these twitter hoe but........."" "
55,1,""";;;;;;;;;; gay nigga wait act like bitch tonight"" "
56,1,""";;; ima steal cat n replace with pitbull ;;;; rt a bitch should it"" "
57,1,"""&amp; he's gone always a hoe"" "
58,1,"""...son a bitch took tic tacs."" like movie. "
59,1,"""..all wanna is get money fuck model bitches!"" - russell simmons "
60,1,"probably wouldn;t mind school much we didn;t to deal bitch teachers"". retweet "
61,1,"i'm fucking fag said"" "
